epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1673.3,1.12745,1.68012,1.34815,0.6442,0.66073,0.65432,0.42159,1.11105,1.06527,1.29151,0.00333286,0.00333286,0.00333286
2,3193.23,1.18409,1.42999,1.3694,0.66588,0.65588,0.66587,0.42228,1.17165,1.07492,1.30933,0.00662219,0.00662219,0.00662219
3,4679.17,1.28868,1.6132,1.44213,0.56381,0.63929,0.60702,0.36087,1.31269,1.23685,1.44534,0.00986753,0.00986753,0.00986753
4,6157.17,1.32012,1.66569,1.47145,0.61394,0.63672,0.63665,0.39288,1.22864,1.17337,1.38183,0.009802,0.009802,0.009802
5,7638.78,1.25848,1.50888,1.42825,0.67024,0.68048,0.67209,0.42584,1.17732,1.05926,1.33698,0.009736,0.009736,0.009736
6,9120.05,1.20917,1.39245,1.39579,0.71911,0.67531,0.7254,0.47613,1.12233,0.97007,1.29061,0.00967,0.00967,0.00967
7,10601.4,1.17415,1.32415,1.36918,0.71214,0.7221,0.74147,0.49594,1.07322,0.9178,1.24965,0.009604,0.009604,0.009604
8,12091.6,1.15731,1.28233,1.35545,0.75061,0.71837,0.76583,0.5133,1.07058,0.88778,1.22984,0.009538,0.009538,0.009538
9,13613.9,1.13115,1.23364,1.33793,0.73588,0.74437,0.77417,0.52832,1.03279,0.85364,1.2049,0.009472,0.009472,0.009472
10,15082,1.12329,1.20405,1.33458,0.7555,0.75031,0.78249,0.54021,1.01692,0.82435,1.19727,0.009406,0.009406,0.009406
11,16557.9,1.10839,1.17629,1.31873,0.76397,0.75439,0.79196,0.55251,0.9986,0.79084,1.17077,0.00934,0.00934,0.00934
12,18024.9,1.09689,1.15391,1.31151,0.7541,0.77042,0.79357,0.55331,1.00091,0.79623,1.17705,0.009274,0.009274,0.009274
13,19493.5,1.0856,1.13049,1.3015,0.77048,0.75987,0.80334,0.56736,0.97382,0.75596,1.14977,0.009208,0.009208,0.009208
14,20963.2,1.07734,1.10726,1.29406,0.77768,0.76989,0.81202,0.57399,0.96848,0.74647,1.15155,0.009142,0.009142,0.009142
15,22436.8,1.06751,1.09064,1.28817,0.77813,0.77935,0.81717,0.58143,0.95588,0.73861,1.13406,0.009076,0.009076,0.009076
16,23909.7,1.06046,1.07702,1.28708,0.77362,0.78917,0.82366,0.58878,0.94265,0.71856,1.12692,0.00901,0.00901,0.00901
17,25386,1.05216,1.06961,1.2784,0.78262,0.78463,0.82408,0.59075,0.93776,0.71397,1.12252,0.008944,0.008944,0.008944
